ID,English_Verb,Greek_Verb,Translation,Verb_Group,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
21,Run,Τρέχω,To run,A,Τρέχω ,Τρέχεις ,Τρέχει ,Τρέχουμε ,Τρέχετε ,Τρέχουν ,Έτρεξα ,Έτρεξες ,Έτρεξε ,Τρέξαμε ,Τρέξατε ,Έτρεξαν ,Θα τρέξω ,Θα τρέξεις ,Θα τρέξει ,Θα τρέξουμε ,Θα τρέξετε ,Θα τρέξουν , Τρέξε , Τρέξτε , Τρέχε , Τρέχετε 
22,Read,Διαβάζω,To read,A,Διαβάζω,Διαβάζεις,Διαβάζει,Διαβάζουμε,Διαβάζετε,Διαβάζουν,Διάβασα,Διάβασες,Διάβασε,Διαβάσαμε,Διαβάσατε,Διάβασαν,Θα διαβάσω,Θα διαβάσεις,Θα διαβάσει,Θα διαβάσουμε,Θα διαβάσετε,Θα διαβάσουν, Διάβασε , Διαβάστε , Διάβαζε , Διαβάζετε 
23,Have,Έχω,To have,A,Έχω,Έχεις,Έχει,Έχουμε,Έχετε,Έχουν,Είχα,Είχες,Είχε,Είχαμε,Είχατε,Είχαν,Θα έχω,Θα έχεις,Θα έχει,Θα έχουμε,Θα έχετε,Θα έχουν,Να έχεις ,Να έχετε,,
24,Say,Λέω,To say,IRR,Λέω,Λες,Λέει,Λέμε,Λέτε,Λένε,Είπα,Είπες,Είπε,Είπαμε,Είπατε,Είπαν,Θα πω,Θα πεις,Θα πει,Θα πούμε,Θα πείτε,Θα πουν, Πες , Πείτε , Λέγε , Λέγετε 
25,Cost,Κοστίζω,To cost,A,Κοστίζω,Κοστίζεις,Κοστίζει,Κοστίζουμε,Κοστίζετε,Κοστίζουν,Κόστισα,Κόστισες,Κόστισε,Κοστίσαμε,Κοστίσατε,Κόστισαν,Θα κοστίσω,Θα κοστίσεις,Θα κοστίσει,Θα κοστίσουμε,Θα κοστίσετε,Θα κοστίσουν,,,,
26,Write,Γράφω,To write,A,Γράφω,Γράφεις,Γράφει,Γράφουμε,Γράφετε,Γράφουν,Έγραψα,Έγραψες,Έγραψε,Γράψαμε,Γράψατε,Έγραψαν,Θα γράψω,Θα γράψεις,Θα γράψει,Θα γράψουμε,Θα γράψετε,Θα γράψουν, Γράψε , Γράψτε , Γράφε , Γράφετε 
27,Open,Ανοίγω,To open,A,Ανοίγω,Ανοίγεις,Ανοίγει,Ανοίγουμε,Ανοίγετε,Ανοίγουν,Άνοιξα,Άνοιξες,Άνοιξε,Ανοίξαμε,Ανοίξατε,Άνοιξαν,Θα ανοίξω,Θα ανοίξεις,Θα ανοίξει,Θα ανοίξουμε,Θα ανοίξετε,Θα ανοίξουν, Άνοιξε , Ανοίξτε , Άνοιγε , Ανοίγετε 
28,Close,Κλείνω,To close,A,Κλείνω,Κλείνεις,Κλείνει,Κλείνουμε,Κλείνετε,Κλείνουν,Έκλεισα,Έκλεισες,Έκλεισε,Κλείσαμε,Κλείσατε,Έκλεισαν,Θα κλείσω,Θα κλείσεις,Θα κλείσει,Θα κλείσουμε,Θα κλείσετε,Θα κλείσουν, Κλείσε , Κλείστε , Κλείνε , Κλείνετε 
29,Walk,Περπατάω,To walk,B,Περπατάω,Περπατάς,Περπατάει,Περπατάμε,Περπατάτε,Περπατούν,Περπάτησα,Περπάτησες,Περπάτησε,Περπατήσαμε,Περπατήσατε,Περπάτησαν,Θα περπατήσω,Θα περπατήσεις,Θα περπατήσει,Θα περπατήσουμε,Θα περπατήσετε,Θα περπατήσουν, Περπάτησε , Περπατήστε , Περπάτα , Περπατάτε 
30,Love,Αγαπάω,To love,B,Αγαπάω,Αγαπάς,Αγαπάει,Αγαπάμε,Αγαπάτε,Αγαπούν,Αγάπησα,Αγάπησες,Αγάπησε,Αγαπήσαμε,Αγάπησατε,Αγάπησαν,Θα αγαπήσω,Θα αγαπήσεις,Θα αγαπήσει,Θα αγαπήσουμε,Θα αγαπήσετε,Θα αγαπήσουν, Αγάπησε , Αγαπήστε , Αγάπα , Αγαπάτε 
